 Type,BHK,Area,LocalityScore,Sqft,Age,SwimmingPool,Lift,JoggingTrack,IndoorGames,Gym,ClubHouse,ChildrenPlayArea,CarParking,ATM,Sports,MultipurposeRoom,Furniture,Price
Apartment,1,Chandkheda,9.9,700,5,0,1,0,0,0,0,1,1,0,0,0,Unfurnished,2500000
Independent Floor,3,Chandkheda,9.9,1728,7,1,0,1,1,1,1,1,1,0,1,1,Unfurnished,9500000
Apartment,2,Chandkheda,9.9,1007,5,0,1,0,0,1,0,0,1,0,0,0,Unfurnished,3250000
Apartment,2,Chandkheda,9.9,1125,4,0,1,1,0,0,1,1,1,0,0,0,Unfurnished,3600000
Apartment,2,Chandkheda,9.9,1062,-1,0,1,1,0,1,1,1,1,0,0,0,Unfurnished,3398400
Apartment,4,Chandkheda,9.9,2488,5,0,1,1,1,1,1,1,1,0,0,0,Unfurnished,16900000
Apartment,3,Chandkheda,9.9,1890,4,0,1,0,0,1,0,0,1,1,0,0,Unfurnished,7400000
Apartment,3,Chandkheda,9.9,1998,3,1,1,0,0,0,1,1,1,0,1,0,Unfurnished,7100000
Villa,3,Chandkheda,9.9,1575,4,0,1,0,0,0,0,0,1,0,0,0,Semi-Furnished,6500000
Villa,4,Chandkheda,9.9,1700,6,0,1,0,0,0,0,0,1,0,0,0,Unfurnished,9000000
Independent Floor,3,Chandkheda,9.9,1728,5,1,1,0,0,1,0,1,1,0,1,0,Unfurnished,9500000
Apartment,3,Chandkheda,9.9,1620,9,0,1,0,0,0,0,0,1,0,0,0,Unfurnished,9000000
Independent Floor,3,Chandkheda,9.9,927,8,0,0,0,0,0,0,1,1,1,0,0,Semi-Furnished,7500000
Apartment,1,Chandkheda,9.9,720,4,1,0,1,1,1,1,1,1,0,0,0,Unfurnished,2100000
Apartment,2,Chandkheda,9.9,1146,4,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,3800000
Apartment,2,Chandkheda,9.9,1350,8,1,1,1,0,1,1,1,1,1,0,0,Furnished,5500000
Apartment,3,Chandkheda,9.9,1260,19,0,1,0,0,0,0,1,1,1,0,0,Semi-Furnished,4500000
Villa,4,Chandkheda,9.9,1755,11,0,0,0,0,0,0,0,1,0,0,0,Unfurnished,12100000
Villa,1,Chandkheda,9.9,186,15,0,0,0,0,0,0,1,0,0,0,0,Semi-Furnished,10000000
Apartment,1,Chandkheda,9.9,1062,-1,0,1,0,0,0,0,1,0,0,0,0,Semi-Furnished,3500000
Independent House,3,Chandkheda,9.9,1890,15,0,0,0,0,0,0,1,0,0,0,0,Unfurnished,10100000
Apartment,2,Chandkheda,9.9,990,4,0,1,0,0,0,0,1,0,0,0,0,Unfurnished,2800000
Apartment,2,Chandkheda,9.9,990,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,4300000
Apartment,1,Chandkheda,9.9,720,5,1,1,1,0,1,1,1,0,1,0,0,Semi-Furnished,2600000
Apartment,2,Chandkheda,9.9,1314,6,0,1,0,0,0,0,1,0,0,0,0,Semi-Furnished,4200000
Apartment,2,Chandkheda,9.9,1540,5,0,1,0,0,0,0,1,0,0,0,0,Semi-Furnished,3500000
Apartment,1,Chandkheda,9.9,765,6,1,1,1,1,1,1,1,1,1,1,1,Semi-Furnished,2250000
Apartment,2,Chandkheda,9.9,1026,4,0,1,0,0,1,1,1,1,1,0,0,Unfurnished,3550000
Apartment,3,Chandkheda,9.9,2115,8,0,1,0,0,0,0,0,0,0,0,0,Unfurnished,8000000
Apartment,2,Chandkheda,9.9,990,6,0,1,0,0,0,0,0,0,0,0,0,Unfurnished,3100000
Apartment,3,Chandkheda,9.9,2025,9,1,1,1,1,1,0,1,1,1,1,0,Semi-Furnished,6700000
Apartment,2,Chandkheda,9.9,1000,1,0,1,1,0,0,1,1,1,0,0,0,Unfurnished,3500000
Apartment,2,Chandkheda,9.9,1233,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,4200000
Apartment,3,Chandkheda,9.9,1620,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,6500000
Apartment,2,Chandkheda,9.9,1170,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,4000000
Apartment,2,Chandkheda,9.9,1242,-1,0,1,0,0,0,0,0,0,0,0,0,Unfurnished,3800000
Apartment,2,Chandkheda,9.9,1449,6,0,1,1,0,1,0,1,1,0,0,0,Unfurnished,3800000
Apartment,2,Chandkheda,9.9,1125,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,5500000
Apartment,3,Chandkheda,9.9,2115,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,7800000
Apartment,2,Chandkheda,9.9,1170,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,3400000
Apartment,3,Chandkheda,9.9,1350,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,4600000
Apartment,3,Chandkheda,9.9,1755,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,6500000
Apartment,3,Chandkheda,9.9,1980,2,0,0,0,1,1,0,1,0,0,0,0,Unfurnished,6500000
Apartment,2,Chandkheda,9.9,1188,-1,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,3300000
Apartment,3,Chandkheda,9.9,1800,10,0,0,0,0,0,0,0,0,0,0,0,Unfurnished,6000000
Villa,3,Chandkheda,9.9,1620,11,0,0,1,0,0,0,0,1,1,0,0,Unfurnished,10500000
Villa,4,Chandkheda,9.9,2025,9,0,0,1,0,0,0,1,1,1,0,0,Semi-Furnished,18000000
Villa,3,Chandkheda,9.9,2025,9,0,0,0,1,0,0,1,1,1,0,0,Unfurnished,15000000
Apartment,2,Chandkheda,9.9,1125,4,0,1,1,0,0,0,1,1,1,0,0,Unfurnished,3200000
Apartment,2,Chandkheda,9.9,1215,6,0,1,1,0,0,0,1,1,1,0,0,Semi-Furnished,4500000
Apartment,4,Chandkheda,9.9,2200,1,0,1,1,1,1,1,1,1,1,1,1,Unfurnished,10500000
Apartment,3,Chandkheda,9.9,2000,1,0,1,1,1,1,1,1,1,1,1,0,Unfurnished,8500000
Apartment,2,Chandkheda,9.9,1350,8,0,1,1,0,0,0,1,1,1,0,0,Furnished,5500000
Apartment,2,Chandkheda,9.9,1200,6,0,1,0,0,0,0,1,1,0,0,0,Semi-Furnished,3850000
Apartment,2,Chandkheda,9.9,954,5,0,1,0,0,0,0,0,1,0,0,0,Unfurnished,2900000
Apartment,2,Chandkheda,9.9,1233,-1,0,1,0,0,0,0,0,1,0,0,0,Semi-Furnished,3475000
Apartment,2,Chandkheda,9.9,1215,-1,0,1,0,0,0,0,0,1,0,0,0,Semi-Furnished,3375000
Apartment,3,Chandkheda,9.9,1485,-1,0,1,0,0,0,0,0,1,0,0,0,Semi-Furnished,5500000
Apartment,3,Chandkheda,9.9,1458,-1,0,1,0,0,0,0,0,1,0,0,0,Semi-Furnished,5800000
Apartment,3,Chandkheda,9.9,1521,-1,0,1,0,0,0,0,0,1,0,0,0,Semi-Furnished,6000000
Apartment,2,Chandkheda,9.9,1180,-1,0,1,0,0,0,0,0,1,0,0,0,Semi-Furnished,3275000
Apartment,3,Chandkheda,9.9,2133,-1,0,1,0,0,0,0,0,1,0,0,0,Semi-Furnished,7584000
Apartment,3,Chandkheda,9.9,1755,-1,0,1,0,0,0,0,0,1,0,0,0,Semi-Furnished,5500000
Apartment,3,Chandkheda,9.9,1809,-1,0,1,0,0,0,0,0,1,0,0,0,Semi-Furnished,6000000
